task_id,task_number,section_id,task_index_in_section,page_start,page_end,raw_text
"task_0011","1.11","1","11","4","4","1.11. Искусственный спутник Луны массой М =8 кг движется
вблизи ее поверхности по круговой орбите. Метеорит массой
т = 0,1 г, летящий со скоростью v = 40 км/с, перпендикулярной
скорости спутника, попадает в спутник и застревает в нем. На какой
угол повернется из-за этого вектор скорости спутника? Радиус Луны
К = 1740 км. Ускорение свободного падения на Луне в 6 раз меньше,
чем на Земле. (Билет 11, 1991)

у, м/с у, м/с
16 4
12 3
8 2
4 1
0 1 2 3 4te 0 1 2 ЗС
Рис. 1.9. . Рис. 1.10.

1.12, Неподвижный снаряд разорвался на четыре осколка. Оскол-
ки массами т, = 3 кг, т, =2 кг, т; = 4 кг полетели соответственно
со скоростями и, = 200 м/с вертикально вверх, vy = 150 м/с гори-
зонтально на север и v; = 100 м/с горизонтально на восток. Под ка-
ким углом к горизонту полетел четвертый осколок? (Билет 12, 1991)"
"task_0012","1.13","1","13","4","4","1.13. Шайба, брошенная вдоль наклонной плоскости вниз,
скользит по ней, ударяясь об упор, отскакивает от него и возвра-
щается к месту броска. График зависимости модуля скорости шай-
бы от времени дан на рис. 1.9. Найти угол наклона плоскости к
горизонту. (Билет 1, 1992)"
"task_0013","1.14","1","14","4","4","1.14. По плоскости с углом наклона к горизонту а
(sina = 4/9) соскальзывает брусок. Коэффициент трения скольже-
ния и между бруском и плоскостью меняется вдоль плоскости.
График зависимости скорости бруска от времени представлен на
рис. 1.10. Найти минимальное значение м. (Билет 2, 1992)"
"task_0014","1.15","1","15","4","4","1.15. Шайба, брошенная вдоль наклонной плоскости, скользит по
ней, двигаясь вверх, а затем возвращается к месту броска. График
зависимости модуля скорости шайбы от времени дан на рис. 1.11.
Найти угол наклона плоскости к горизонту. (Билет 3, 1992)"
"task_0015","1.16","1","16","5","5","1.16. Брусок соскальзывает с плоскости с углом наклона к горизон-
ту а (sina = 1/7). Коэффициент трения скольжения и между бруском
и плоскостью меняется вдоль плоскости. График зависимости скорости
бруска от времени представлен на рис. 1.12. Найти максимальное зна-
чение р. (Билст 4, 1992)

у, м/с
5
у, м/с 4
6
‘(SO 3
SON Tr ,
РМТ
0 12345678 1с от 2 3 41.5
Рис. 1.11. Рис. 1.12."
"task_0016","1.17","1","17","5","5","1.17. Доска с лежащим на ней бруском находится на гладкой гори-
зонтальной поверхности стола (рис. 1.13). Брусок в пять раз тяжелее
доски. Система совершает колебания с амплитудой А = 8 см и перио-
дом Т = 0,8 с по поверхности стола под действием пружины, прикреп-
ленной к бруску. Доска и брусок при колебаниях неподвижны относи-
тельно друг друга. При каких значениях коэффициента трения между
доской и бруском такие колебания возможны? (Билет 5, 1992)"
"task_0017","1.18","1","18","5","5","1.18. Два груза общей массой т = 1 кг, соединенные упругой пру-
жиной жесткостью k = 100 Н/м, висят на нити (рис. 1.14). Найти все
возможные расстояния, на которые следует оттянуть вертикально
вниз и затем отпустить нижний груз, чтобы при последующих его
колебаниях верхний груз оставался неподвижным? (Билет 6, 1992)

Рис. 1.13. Рис. 1.14. Рис. 1.15. Рис. 1.16."
"task_0018","1.19","1","19","5","5","1.19. Доска с лежащим на ней бруском находится на гладкой го-
ризонтальной поверхности стола (рис. 1.15). Система совершает ко-
лебания под действием упругой пружины вдоль прямой с периодом
Т=1с и максимальным значением скорости у = 0,5 м/с. При этом
доска и брусок неподвижны друг относительно друга. При каких зна-
чениях коэффициента трения скольжения между доской и бруском
такие колебания возможны? (Билет 7, 1992)"
"task_0019","1.20","1","20","6","6","1.20. Два груза общей массой т = 1 кг, связанные нитью, висят на
упругой пружине жесткостью k = 100 Н/м (рис. 1.16). Найти все воз-
можные расстояния, на которые следует оттянуть вертикально вниз
грузы и затем отпустить их, чтобы при последующих колебаниях гру-
зов нить не провисала. (Билет 8, 1992)"
"task_0020","1.21","1","21","6","6","1.21. Между шариками массой т и М, связанными нитью,
вставлена легкая пружина жесткостью К, сжатая на некоторую
величину. Система шариков движется со скоростью Up вдоль пря-
мой, проходящей через центры шариков (рис. 1.17). Нить пережи-
гают, и один из шариков останавливается. Найти начальную ве-
личину сжатия пружины. (Билет 9, 1992)"
"task_0021","1.22","1","22","6","6","1.22. Два груза массой т каждый связаны нитью. Между грузами
вставлена легкая упругая пружина, сжатая на величину х. Система
движется со скоростью у вдоль прямой, перпендикулярной ее оси
(рис. 1.18). Нить пережигают, и грузы разлетаются под углом 90°.
Найти коэффициент упругости пружины. (Билет 10, 1992)

у M + am й
m 9, — Sm
ae У
Рис. 1.17. Рис. 1.18. Рис. 1.19. Рис. 1.20."
"task_0022","1.23","1","23","6","6","1.23. Шарики массами т и Зт связаны нитью; между ними
вставлена легкая пружина жесткостью К, сжатая на величину Хо.
Система движется с некоторой скоростью вдоль прямой, проходя-
щей через центры. шариков (рис. 1.19). Нить пережигают, и ско-
рость шарика массой т увеличивается в 7 раз. Найти начальную
скорость шариков. (Билет 11, 1992)"
"task_0023","1.24","1","24","6","6","1.24. Грузы с одинаковыми массами связаны нитью. Между ними
вставлена легкая пружина жесткостью К, сжатая на величину Хо.
Грузы движутся со скоростью у вдоль прямой, составляющей угол
а сосью системы (рис. 1.20). После пережигания нити один из грузов
полетел перпендикулярно первоначальному направлению движения.
Найти массу груза. (Билет 12, 1992) у"
"task_0024","1.25","1","25","6","6","1.25. На горизонтальной гладкой по- (""|

| верхности стола покоится доска массой М
(рис. 1.21). На доску со скоростью V въез- РТР
к .. Рис. 1.21.
жает шайба массы т. Какой должна быть
длина доски, чтобы шайба не соскользнула с нее? Коэффициент тре-
ния скольжения между шайбой и доской К, размер шайбы мал по срав-
нению с длиной доски. (Билет 1, 1993)"
"task_0025","1.26","1","26","7","7","1.26. Брусок, двигавшийся по горизонтальной поверхности стола
со скоростью Up, сталкивается с неподвижным бруском вдвое большей
массы. На какое расстояние разъедутся бруски после столкновения?
Удар упругий центральный. Коэффициенты трения брусков о стол
одинаковы и равны и. (Билет 2, 1993)"
"task_0026","1.27","1","27","7","7","1.27. На длинную доску массой М, скользящую по гладкой гори-

+ зонтальной поверхности стола со скоростью

[и] у /, кладут с нулевой скоростью относитель-

но стола шайбу массы т (рис. 1.22). Какое

CO TELE PTET расстояние пройдет шайба по доске к мо-

Рис. 1.22. менту, когда ее скорость относительно до-

ски станет равной нулю? Коэффициент трения между шайбой и доской
равен К. (Билет 3, 1993)"
"task_0027","1.28","1","28","7","7","1.28. Брусок, двигавшийся по горизонтальной поверхности стола
со скоростью Vo, сталкивается с неподвижным бруском, вчетверо
меньшей массы. На какое расстояние разъедутся бруски после стол-
кновения? Удар центральный, упругий. Коэффициенты трения бру-
сков о стол одинаковы и равны и. (Билет 4, 1993)"
"task_0028","1.29","1","29","7","7","1.29. Тело, брошенное с поверхности Земли вертикально вверх с
некоторой скоростью, упало на Землю через 3 с. Через какое время
упадет тело, брошенное вертикально вверх с той же скоростью на
Луне? Радиус Земли в 3,8 раза больше радиуса Луны, а масса Земли
в 81 раз больше массы Луны. (Билет 5, 1993)"
"task_0029","1.30","1","30","7","7","1.30. Во сколько раз отличаются минимальные периоды обращения
спутников для Марса и Земли? Масса Марса составляет а = 0,11 массы
Земли, а радиус В = 0,53 радиуса Земли. (Билет 6, 1993)"
"task_0030","1.31","1","31","7","7","1.31. Максимальная высота подъема тела, брошенного вертикаль-
но вверх с некоторой скоростью на Земле, оказалось 10 м. Найти
максимальную высоту подъема тела, брошенного вертикально вверх
с той же скоростью на Луне. Радиус и масса Земли больше радиуса
и массы Луны в 3,8 раза и 81 раз соответственно. (Билет 7, 1993)"
"task_0031","1.32","1","32","7","7","1.32. Во сколько раз отличаются максимальные скорости дви-
жения спутников по круговым орбитам для Земли и Марса? Масса

Марса составляет а =0,11 массы Земли, а радиус
В = 0,53 радиуса Земли. (Билет 8, 1993)"
"task_0032","1.33","1","33","7","7","1.33. Шар вращается с частотой у=0,7с\! вок-
руг вертикальной оси, проходящей через его центр
(рис. 1.23). К верхней точке шара прикреплена нить
с небольшим телом. Длина нити равна четверти

Puc. 1.23. длины окружности большого круга шара. С поверх-

ностью шара соприкасается 2/3 длины нити. Найти
радиус шара. (Билет 9, 1993)"
"task_0033","1.34","1","34","7","7","1.34. При какой продолжительности суток на Земле камень, ле-
жащий на широте ф = 60°, оторвется от поверхности Земли? Радиус
Земли 6400 км. (Билет 10, 1993)"
"task_0034","1.35","1","35","8","8","1.35. Шар радиуса К=12 см вращается вокруг вертикальной
оси, проходящей через его центр (рис. 1.24). К верхней точке шара
прикреплена нить с небольшим грузом. Длина нити Й
равна лК/2. При каком периоде вращения с поверх-
ностью шара будет соприкасаться третья часть дли-
ны нити? (Билет 11, 1993)"
"task_0035","1.36","1","36","8","8","1.36. Груз висит на нити в Москве. При какой про-
должительности суток Земли нить расположилась бы
параллельно оси вращения Земли? Радиус Земли Рис. 1.24.
R= 6400 км. (Билет 12, 1993)"
"task_0036","1.37","1","37","8","8","1.37. По доске, наклоненной к горизонту под углом а=
=arcsin (1/3), можно передвигать вверх или вниз грузы, приклады-
вая силу вдоль доски. Чтобы передвинуть ящик массой т = 30 кг вниз
на расстояние L=3M, надо совершить минимальную работу
А = 100 Дж. Какую минимальную работу потребуется совершить,
чтобы вернуть по доске этот ящик назад? (Билет 1, 1994)"
"task_0037","1.38","1","38","8","8","1.38. Мальчик съезжает на санках без начальной скорости с горки
высотой Н = 5м по кратчайшему пути и приобретает у подножия гор-
ки скорость v = 6 м/с. Какую минимальную работу необходимо затра-
тить, чтобы втащить санки массой т = 7 кг на горку от ее подножия,
прикладывая силу вдоль плоской поверхности горки? (Билет 2, 1994)"
"task_0038","1.39","1","39","8","8","1.39. На наклонной плоскости с углом наклона а = arctg (1/4) ле-
жит коробка. Чтобы передвинуть коробку вниз по наклонной плоско-
сти на некоторое расстояние, нужно совершить минимальную работу
Л, = 15 Дж. Для перемещения коробки вверх вдоль наклонной пло-
скости требуется совершить работу не менее A, = 65 Дж. В обоих
случаях силы к коробке прикладываются вдоль наклонной плоскости.
Определить по этим данным коэффициент трения скольжения между
коробкой и наклонной плоскостью, если величины перемещений
вверх и вниз равны. (Билет 3, 1994)"
"task_0039","1.40","1","40","8","8","1.40. Чтобы затащить от подножия на горку санки массой
т = 5 кг, прикладывая силу вдоль поверхности горки, необходимо
совершить работу не менее A= 480 Дж. С какой скоростью до-
стигнет подножия девочка на санках, если она съедет с горки без
начальной скорости по кратчайшему пути? Угол наклона поверх-
ности горки к горизонту a=arctg (0,2). Коэффициент трения
скольжения между санками и горкой и = 0,1. (Билет 4, 1994)"
"task_0040","1.41","1","41","8","8","1.41. По гладкой горизонтальной поверхности стола скользят вдоль
одной прямой навстречу друг другу массивный брусок со скоростью
и = 1 м/с и небольшой шарик со скоростью v = 2 м/с. В некоторый
момент времени шарик оказался в точке Л на расстоянии 5 = 1,5 мот
бруска. Через какое время, считая от этого момента, шарик снова ока-
жется в точке А? Столкновение шарика с бруском упругое. Скорость
шарика перпендикулярна грани бруска, о которую он ударяется. Мас-
са шарика намного меньше массы бруска. (Билет 5, 1994)"
"task_0041","1.43","1","43","9","9","1.43. По гладкой горизонтальной поверхности льда скользят в од-
ном направлении массивный брусок со скоростью и = | м/с и неболь-
was шайба со скоростью v = 3 м/с, догоняющая брусок. В некоторый
момент времени шайба находилась в точке В на расстоянии L =1м
от бруска. Через какое время, считая от этого момента, шайба вер-
нется в точку В? Столкновение шайбы с бруском упругое. Скорость
шайбы перпендикулярна грани бруска, о которую она ударяется.
Масса шайбы намного меньше массы бруска. (Билет 7, 1994)"
"task_0042","1.44","1","44","9","9","1.44. По направлению к неподвижному шарику движется массив-
ная плита с постоянной скоростью у = 4 м/с, направленной верти-
кально вверх и перпендикулярно поверхности плиты. В момент, ког-
да плита находилась на расстоянии Н = | м от шарика, шарик отпу-
скают. На какое максимальное расстояние от плиты удалится шарик
после упругого удара о плиту? Масса шарика много меньше массы
плиты. (Билет 8, 1994)"
"task_0043","1.45","1","45","9","9","1.45. С верхней точки шара радиуса К = 54см, закрепленного
на горизонтальной поверхности стола, соскальзывает без начальной

скорости и без трения неболь-

у» шой шарик. На какую макси-

, `\ мальную высоту от стола под-

28 H R нимется шарик после упругого
удара о стол? (Билет 9, 1994)"
"task_0044","1.46","1","46","9","9","1.46. Небольшой шарик co-

скальзывает без начальной ско-

Рис. 1.25. рости с высоты 2, двигаясь без

трения по желобу, расположенному в вертикальной плоскости

(рис. 1.25). Горизонтальный участок желоба плавно переходит в полу-

окружность радиуса R = 81 см. Какой максимальной высоты Н достиг-

нет шарик после отрыва от желоба? (Билет 10, 1994)"
"task_0045","1.47","1","47","9","9","1.47. Небольшая шайба соскальзывает без начальной скорости и
без трения с верхней точки шара, закрепленного на горизонтальной
поверхности стола. Под каким углом к поверхности стола шайба уда-
рится о стол? (Билет 11, 1994)"
"task_0046","1.48","1","48","9","9","1.48. С высоты 1,5А соскальзывает без начальной скорости неболь-
шой шарик, двигаясь без трения по желобу, расположенному в верти-
кальной плоскости (рис. 1.26). Горизонтальный участок желоба плав-
но переходит в полуокружность радиуса К. Под каким углом В к гори-
зонту упадет шарик на горизонтальный участок желоба после отрыва
от желоба? (Билет 12, 1994)"
"task_0047","1.49","1","49","10","10","1.49. Призма находится на горизонтальной поверхности шерохова-
‘того стола (рис. 1.27). На поверхность призмы, наклоненную под уг-
лом а к горизонту, положили брусок массой m и отпустили. Он стал со-
скальзывать, а призма осталась в покое. Коэффициент трения сколь-
жения между бруском и призмой п. Найти силу трения между призмой
и столом. (Билет 1, 1995)
„’ \
м _
и
B
Рис. 1.26. Puc. 1.27."
"task_0048","1.50","1","50","10","10","1.50. Призма находится на горизонтальной поверхности гладкого
стола и упирается в гладкую стенку (рис. 1.28). На гладкую поверх-
ность призмы, наклоненную под углом а к горизонту, положили
шайбу массой т и стали давить на нее с постоянной горизонтальной
силой Р. Найти силу давления призмы на стенку при движении шай-
бы вверх. (Билет 2, 1995)"
"task_0049","1.51","1","51","10","10","1.51. Призма массой М находится на горизонтальной поверхности
гладкого стола и упирается в гладкую стенку (рис. 1.29). На поверх-
ность призмы, наклоненную под углом а к горизонту, положили бру-
сок массой т и отпустили. Брусок стал соскальзывать. Коэффициент
трения скольжения между бруском и призмой p. Найти силу давления
призмы на стол. (Билет 3, 1995)

LG mC.)
= —_ > ms Ge
Puc. 1.28. Puc. 1.29. Puc. 1.30. Рис. 1.31."
"task_0050","1.52","1","52","10","10","1.52. На горизонтальной поверхности гладкого стола находится
призма массой М, упирающаяся в гладкую стенку (рис. 1.30). На
гладкую поверхность призмы, наклоненную под углом а к гори-
зонту, положили брусок массой т и стали давить на него верти-
кально вниз с постоянной силой Р. Найти силу давления призмы
на стол при движении бруска по призме. (Билет 4, 1995)"
"task_0051","1.53","1","53","10","10","1.53. Шары с массами m,, mz и т; подвешены к потолку с по-
мощью двух невесомых пружин и легкой нити (рис. 1.31). Система
покоится. Определить силу натяжения нити. Определить ускорение
(направление и модуль) шара массой т, сразу после пережигания
нити. (Билет 5, 1995)"
"task_0052","1.54","1","54","11","11","1.54. Бруски с массами т, и т, соединены невесомой пружиной
(рис. 1.32) и прикреплены с помощью легкой нити к упору А, за-
крепленному на гладкой наклонной плоскости с углом наклона а.
Система покоится. Найти силу натяжения нити. Найти ускорение
(направление и модуль) бруска с массой т, сразу после пережигания
нити. (Билет 6, 1995)"
"task_0053","1.55","1","55","11","11","1.55. К потолку с помощью легкой нити и двух невесомых пружин
подвешены грузы с массами т, m, и т; (рис. 1.33). Система покоится.

1) Определить силу натяжения нити.

2) Определить ускорение (направление и модуль) груза массой
т, сразу после пережигания нити. (Билет 7, 1995)

LJ |
А А
my my,
т Ub}
Puc. 1.32. Puc. 1.33. Puc. 1.34."
"task_0054","1.56","1","56","11","11","1.56. Бруски с массами т, и т, соединены легкой нитью
(рис. 1.34) и прикреплены с помощью невесомой пружины к упору А,
закрепленному на гладкой наклонной плоскости с углом наклона а.
Система покоится.

1) Найти силу натяжения нити.

2) Найти ускорение (направление и модуль) бруска с массой т,
сразу после пережигания нити. (Билет 8, 1995)"
"task_0055","1.57","1","57","11","11","1.57. Луна движется вокруг Земли с периодом Т = 27,3 суток
по орбите, которую можно считать круговой. Радиус Земли
г = 6400 км. Ускорение свободного падения на поверхности Земли
8 =9,8 м/с?. Определить по этим данным расстояние между Зем-
лей и Луной. (Билет 9, 1995)"
"task_0056","1.58","1","58","11","11","1.58. Спутник Фобос обращается вокруг Марса по орбите радиуса
К = 9400 км с периодом Т = 7 ч. 39 мин. Радиус Марса Ry = 3400 км.
Найти по этим данным ускорение свободного падения на поверхности
Марса. (Билет 10, 1995)"
"task_0057","1.59","1","59","11","11","1.59. Период обращения Луны вокруг Земли Т = 27,3 суток. Ра-
диус Земли г = 6400 км. Ускорение свободного падения на поверх-
ности Земли g = 9,8 м/с?. Определить по этим данным скорость Лу-
ны, считая ее орбиту круговой. (Билет 11, 1995)"
"task_0058","1.60","1","60","12","12","1.60. Радиус Марса К, = 3400 км. Спутник Фобос обращается
вокруг него по орбите радиуса К = 9400 км с периодом Т =7ч.
39 мин. Найти по этим данным первую космическую скорость для
Марса. (Билет 12, 1995)"
"task_0059","1.61","1","61","12","12","1.61. Из бункера с высоты Н = 1 м высыпалась порция
песка массой т = 100 кг и попала в вагонетку массой 2m, k
движущуюся горизонтально со скоростью у = 3 м/с. Со-
противление движению вагонетки со стороны рельсов не
учитывать.

1) Найти скорость вагонетки с песком.

2) На сколько увеличилась суммарная внутренняя энер- рис. 135.
гия вагонетки, песка и окружающих тел? (Билет 1, 1996)"
"task_0060","1.62","1","62","12","12","1.62. Пружина жесткостью А прикреплена к потолку и бруску
массой т (рис. 1.35). Брусок лежит на подставке так, что ось
пружины вертикальна и пружина сжата на величину Г. Подставку
быстро убирают. Найти амплитуду колебаний бру- т
ска. (Билет 1, 1996) <."
"task_0061","1.63","1","63","12","12","1.63. Кусок пластилина массой т = 32г у
(рис. 1.36) попадает в брусок массой 6m, двигающийся v/4
но гладкой горизонтальной поверхности стола, и при-
липает к нему. Перед ударом скорость куска пластили-
на равна у = 7 м/с и направлена под углом a = 60° к Рис. 1.36.
горизонту, а скорость бруска равна v/4 и лежит в одной вертикальной
плоскости со скоростью пластилина. :

1) Определить скорость бруска с пластилином после удара.

2) На сколько увеличилась суммарная внутренняя энергия бруска,
пластилина и окружающих тел? (Билет 2, 1996)"
"task_0062","1.64","1","64","12","12","1.64. На пружине жесткостью k висят два груза, связан-
ные нитью (рис. 1.37). После пережигания нити верхний k
груз стал колебаться с амплитудой А. Найти массу нижнего
груза. (Билет 2, 1996)"
"task_0063","1.65","1","65","12","12","1.65. Камень массой т = кг подняли на некоторую
высоту и отпустили без начальной скорости. Через время
!=1с практически свободного падения камень попал в
ящик с песком массой 5m, скользивший по гладкой гори- Рис. 1.37.
зонтальной поверхности со скоростью v = 6 м/с.

1) Найти скорость ящика с камнем.

2) На сколько увеличилась суммарная внутренняя энергия ящика,
песка, камня и окружающих тел? (Билет 3, 1996)"
"task_0064","1.66","1","66","12","12","1.66. Груз массой т привязан нитью, пе-
рекинутой через блок, к другому грузу, кото- ттт
рый удерживается на гладком горизонтальном к ии
столе пружиной, прикрепленной к стене [м
(рис. 1.38). Нить пережигают, и груз на столе
начинает колебаться с амплитудой А. Найти Рис. 1.38.
жесткость пружины. (Билет 3, 1996)"
"task_0065","1.67","1","67","13","13","1.67. Кусок пластилина массой т = 200г (рис. 1.39) попадает в

брусок массой 2m, двигающийся по гладкой горизонтальной поверх-

Ш ности стола, и прилипает к нему. Перед ударом ско-

ay рость куска пластилина v= 6 м/с и направлена под

у углом а = 60° к горизонту, а скорость бруска равна

v/2 v/2 и лежит в одной вертикальной плоскости со ско-
ростью пластилина.

рис. 1.39. 1) Определить скорость бруска с пластилином по-

сле удара.

2) На сколько увеличилась суммарная внутренняя энергия бруска,
пластилина и окружающих тел? (Билет 4, 1996)"
"task_0066","1.68","1","68","13","13","1.68. Чашка с гирями пружинных весов покоится. На чашку по-
ставили еще одну гирю массой т. Найти амплитуду колебаний чаш-
ки. Жесткость пружины k. (Билет 4, 1996)"
"task_0067","1.69","1","69","13","13","1.69. На наклонной плоскости с углом наклона а = 30° удержива-
ются неподвижно тележка и брусок, расположенные рядом (рис. 1.40).

Их отпускают. Какое расстояние будет между те-

лежкой и бруском к моменту, когда тележка

пройдет расстояние L = 50 см? Коэффициент тре-

a ния скольжения между бруском и наклонной пло-

Puc. 1.40. скостью и = 0,3. Массу колес тележки и трение
качения не учитывать. (Билет 5, 1996)"
"task_0068","1.70","1","70","13","13","1.70. Тонкая запаянная с одного конца трубка заполнена ртутью и
закреплена на горизонтальной платформе, вращающейся с угловой
скоростью @ вокруг вертикальной оси так, что ртуть не выливается и
заполняет полностью горизонтальное колено трубки (рис. 1.41). От-
крытое колено трубки вертикально. Геометрические размеры установ-
ки указаны на рисунке. Атмосферное давление Py, плотность ртути р.

1) Найти давление ртути в месте изгиба трубки.

2) Найти давление ртути у запаянного конца трубки. (Билет 5, 1996)

3R Ш

| |
НН R и |
Е |

EL fy ta

Se
И О А О ЧО О wt У И ПН О О О О et
= <=:
Рис. 1.41. Рис. 1.42."
"task_0069","1.71","1","71","13","13","1.71. По горизонтальной поверхности стола скользит брусок мас-
сой т и сталкивается неупруго с неподвижным бруском массой 2т,
имея перед ударом скорость у = 2 м/с. Какое расстояние пройдут
слипшиеся бруски до остановки? Коэффициент трения скольжения
между брусками и столом p = 1/18. (Билет 6, 1996)"
"task_0070","1.73","1","73","14","14","1.73. На наклонной плоскости с углом наклона
а = 30° удерживаются неподвижно тележка и
брусок, расположенные рядом (рис. 1.43). Их от-
пускают. Ha каком расстоянии друг от друга ока- а
жутся тележка и брусок к моменту, когда брусок Puc. 1.43.
пройдет расстояние 5 = 31 см? Коэффициент тре-
ния скольжения между бруском и наклонной плоскостью п = 0,4.
Массу колес тележки и трение качения не учитывать. (Билет 7, 1996)"
