task_id,task_number,group_id,group_pos,neighbor_rank,neighbor_task_id,neighbor_task_number,neighbor_group_id,neighbor_group_pos,similarity
"task_0019","1.19","1_005","3","4","task_0188","1.188","1_047","4","0.120118"
"task_0019","1.19","1_005","3","5","task_0049","1.49","1_013","1","0.098843"
"task_0019","1.19","1_005","3","6","task_0084","1.84","1_021","4","0.092681"
"task_0019","1.19","1_005","3","7","task_0016","1.16","1_004","4","0.091419"
"task_0019","1.19","1_005","3","8","task_0051","1.51","1_013","3","0.090534"
"task_0019","1.19","1_005","3","9","task_0014","1.14","1_004","2","0.089192"
"task_0019","1.19","1_005","3","10","task_0097","1.97","1_025","1","0.088545"
"task_0020","1.20","1_005","4","1","task_0018","1.18","1_005","2","0.530141"
"task_0020","1.20","1_005","4","2","task_0064","1.64","1_016","4","0.168938"
"task_0020","1.20","1_005","4","3","task_0024","1.24","1_006","4","0.07426"
"task_0020","1.20","1_005","4","4","task_0022","1.22","1_006","2","0.073977"
"task_0020","1.20","1_005","4","5","task_0037","1.37","1_010","1","0.066682"
"task_0020","1.20","1_005","4","6","task_0131","1.131","1_033","3","0.054368"
"task_0020","1.20","1_005","4","7","task_0010","1.10","1_003","2","0.048934"
"task_0020","1.20","1_005","4","8","task_0001","1.1","1_001","1","0.048691"
"task_0020","1.20","1_005","4","9","task_0176","1.176","1_044","4","0.048433"
"task_0020","1.20","1_005","4","10","task_0160","1.160","1_040","4","0.04775"
"task_0021","1.21","1_006","1","1","task_0023","1.23","1_006","3","0.475254"
"task_0021","1.21","1_006","1","2","task_0022","1.22","1_006","2","0.269605"
"task_0021","1.21","1_006","1","3","task_0024","1.24","1_006","4","0.224879"
"task_0021","1.21","1_006","1","4","task_0135","1.135","1_034","3","0.13306"
"task_0021","1.21","1_006","1","5","task_0131","1.131","1_033","3","0.112759"
"task_0021","1.21","1_006","1","6","task_0129","1.129","1_033","1","0.093413"
"task_0021","1.21","1_006","1","7","task_0066","1.66","1_017","2","0.080142"
"task_0021","1.21","1_006","1","8","task_0062","1.62","1_016","2","0.075474"
"task_0021","1.21","1_006","1","9","task_0173","1.173","1_044","1","0.06235"
"task_0021","1.21","1_006","1","10","task_0019","1.19","1_005","3","0.056349"
"task_0022","1.22","1_006","2","1","task_0023","1.23","1_006","3","0.299165"
"task_0022","1.22","1_006","2","2","task_0021","1.21","1_006","1","0.269605"
"task_0022","1.22","1_006","2","3","task_0024","1.24","1_006","4","0.238752"
"task_0022","1.22","1_006","2","4","task_0135","1.135","1_034","3","0.146312"
"task_0022","1.22","1_006","2","5","task_0131","1.131","1_033","3","0.120338"
"task_0022","1.22","1_006","2","6","task_0176","1.176","1_044","4","0.102322"
"task_0022","1.22","1_006","2","7","task_0066","1.66","1_017","2","0.081253"
"task_0022","1.22","1_006","2","8","task_0020","1.20","1_005","4","0.073977"
"task_0022","1.22","1_006","2","9","task_0129","1.129","1_033","1","0.070092"
"task_0022","1.22","1_006","2","10","task_0064","1.64","1_016","4","0.069908"
"task_0023","1.23","1_006","3","1","task_0021","1.21","1_006","1","0.475254"
"task_0023","1.23","1_006","3","2","task_0022","1.22","1_006","2","0.299165"
"task_0023","1.23","1_006","3","3","task_0024","1.24","1_006","4","0.290135"
"task_0023","1.23","1_006","3","4","task_0135","1.135","1_034","3","0.170473"
"task_0023","1.23","1_006","3","5","task_0131","1.131","1_033","3","0.161784"
"task_0023","1.23","1_006","3","6","task_0173","1.173","1_044","1","0.109216"
"task_0023","1.23","1_006","3","7","task_0411","3.64","3_016","4","0.090125"
"task_0023","1.23","1_006","3","8","task_0187","1.187","1_047","3","0.080278"
"task_0023","1.23","1_006","3","9","task_0062","1.62","1_016","2","0.075931"
"task_0023","1.23","1_006","3","10","task_0129","1.129","1_033","1","0.074022"
"task_0024","1.24","1_006","4","1","task_0023","1.23","1_006","3","0.290135"
"task_0024","1.24","1_006","4","2","task_0022","1.22","1_006","2","0.238752"
"task_0024","1.24","1_006","4","3","task_0021","1.21","1_006","1","0.224879"
"task_0024","1.24","1_006","4","4","task_0064","1.64","1_016","4","0.15486"
"task_0024","1.24","1_006","4","5","task_0176","1.176","1_044","4","0.14395"
"task_0024","1.24","1_006","4","6","task_0135","1.135","1_034","3","0.141551"
"task_0024","1.24","1_006","4","7","task_0131","1.131","1_033","3","0.128706"
"task_0024","1.24","1_006","4","8","task_0055","1.55","1_014","3","0.114031"
"task_0024","1.24","1_006","4","9","task_0056","1.56","1_014","4","0.078948"
"task_0024","1.24","1_006","4","10","task_0053","1.53","1_014","1","0.075501"
"task_0025","1.25","1_007","1","1","task_0027","1.27","1_007","3","0.193889"
"task_0025","1.25","1_007","1","2","task_0138","1.138","1_035","2","0.132774"
"task_0025","1.25","1_007","1","3","task_0127","1.127","1_032","3","0.131153"
"task_0025","1.25","1_007","1","4","task_0139","1.139","1_035","3","0.127415"
"task_0025","1.25","1_007","1","5","task_0140","1.140","1_035","4","0.123297"
"task_0025","1.25","1_007","1","6","task_0137","1.137","1_035","1","0.11991"
"task_0025","1.25","1_007","1","7","task_0143","1.143","1_036","3","0.116622"
"task_0025","1.25","1_007","1","8","task_0087","1.87","1_022","3","0.110747"
"task_0025","1.25","1_007","1","9","task_0043","1.43","1_011","3","0.109632"
"task_0025","1.25","1_007","1","10","task_0093","1.93","1_024","1","0.107459"
"task_0026","1.26","1_007","2","1","task_0028","1.28","1_007","4","0.804282"
"task_0026","1.26","1_007","2","2","task_0071","1.71","1_018","3","0.165826"
"task_0026","1.26","1_007","2","3","task_0027","1.27","1_007","3","0.117241"
"task_0026","1.26","1_007","2","4","task_0085","1.85","1_022","1","0.092628"
"task_0026","1.26","1_007","2","5","task_0075","1.75","1_019","3","0.081637"
"task_0026","1.26","1_007","2","6","task_0171","1.171","1_043","3","0.077886"
"task_0026","1.26","1_007","2","7","task_0087","1.87","1_022","3","0.075509"
"task_0026","1.26","1_007","2","8","task_0187","1.187","1_047","3","0.073109"
"task_0026","1.26","1_007","2","9","task_0047","1.47","1_012","3","0.072788"
"task_0026","1.26","1_007","2","10","task_0188","1.188","1_047","4","0.072181"
"task_0027","1.27","1_007","3","1","task_0025","1.25","1_007","1","0.193889"
"task_0027","1.27","1_007","3","2","task_0138","1.138","1_035","2","0.148923"
"task_0027","1.27","1_007","3","3","task_0140","1.140","1_035","4","0.134247"
"task_0027","1.27","1_007","3","4","task_0177","1.177","1_045","1","0.130081"
"task_0027","1.27","1_007","3","5","task_0139","1.139","1_035","3","0.126954"
"task_0027","1.27","1_007","3","6","task_0026","1.26","1_007","2","0.117241"
"task_0027","1.27","1_007","3","7","task_0028","1.28","1_007","4","0.116912"
"task_0027","1.27","1_007","3","8","task_0149","1.149","1_038","1","0.10509"
"task_0027","1.27","1_007","3","9","task_0017","1.17","1_005","1","0.100595"
"task_0027","1.27","1_007","3","10","task_0137","1.137","1_035","1","0.098107"
"task_0028","1.28","1_007","4","1","task_0026","1.26","1_007","2","0.804282"
"task_0028","1.28","1_007","4","2","task_0071","1.71","1_018","3","0.16536"
"task_0028","1.28","1_007","4","3","task_0027","1.27","1_007","3","0.116912"
"task_0028","1.28","1_007","4","4","task_0085","1.85","1_022","1","0.108495"
"task_0028","1.28","1_007","4","5","task_0075","1.75","1_019","3","0.081408"
"task_0028","1.28","1_007","4","6","task_0171","1.171","1_043","3","0.077667"
"task_0028","1.28","1_007","4","7","task_0187","1.187","1_047","3","0.072904"
"task_0028","1.28","1_007","4","8","task_0047","1.47","1_012","3","0.072583"
"task_0028","1.28","1_007","4","9","task_0188","1.188","1_047","4","0.071978"
"task_0028","1.28","1_007","4","10","task_0017","1.17","1_005","1","0.070931"
"task_0029","1.29","1_008","1","1","task_0031","1.31","1_008","3","0.38902"
"task_0029","1.29","1_008","1","2","task_0059","1.59","1_015","3","0.16694"
"task_0029","1.29","1_008","1","3","task_0030","1.30","1_008","2","0.130119"
"task_0029","1.29","1_008","1","4","task_0267","2.79","2_020","3","0.128353"
"task_0029","1.29","1_008","1","5","task_0091","1.91","1_023","3","0.125041"
"task_0029","1.29","1_008","1","6","task_0032","1.32","1_008","4","0.123095"
"task_0029","1.29","1_008","1","7","task_0090","1.90","1_023","2","0.120636"
"task_0029","1.29","1_008","1","8","task_0036","1.36","1_009","4","0.115869"
"task_0029","1.29","1_008","1","9","task_0034","1.34","1_009","2","0.111815"
"task_0029","1.29","1_008","1","10","task_0092","1.92","1_023","4","0.108557"
"task_0030","1.30","1_008","2","1","task_0032","1.32","1_008","4","0.650078"
"task_0030","1.30","1_008","2","2","task_0036","1.36","1_009","4","0.157858"
"task_0030","1.30","1_008","2","3","task_0059","1.59","1_015","3","0.142483"
"task_0030","1.30","1_008","2","4","task_0058","1.58","1_015","2","0.130436"
"task_0030","1.30","1_008","2","5","task_0029","1.29","1_008","1","0.130119"
"task_0030","1.30","1_008","2","6","task_0267","2.79","2_020","3","0.129223"
"task_0030","1.30","1_008","2","7","task_0034","1.34","1_009","2","0.128121"
"task_0030","1.30","1_008","2","8","task_0060","1.60","1_015","4","0.12563"
"task_0030","1.30","1_008","2","9","task_0268","2.80","2_020","4","0.111835"
"task_0030","1.30","1_008","2","10","task_0057","1.57","1_015","1","0.109391"
"task_0031","1.31","1_008","3","1","task_0029","1.29","1_008","1","0.38902"
"task_0031","1.31","1_008","3","2","task_0011","1.11","1_003","3","0.081549"
"task_0031","1.31","1_008","3","3","task_0034","1.34","1_009","2","0.079128"
"task_0031","1.31","1_008","3","4","task_0146","1.146","1_037","2","0.078134"
"task_0031","1.31","1_008","3","5","task_0030","1.30","1_008","2","0.07243"
"task_0031","1.31","1_008","3","6","task_0148","1.148","1_037","4","0.070399"
"task_0031","1.31","1_008","3","7","task_0032","1.32","1_008","4","0.06852"
"task_0031","1.31","1_008","3","8","task_0089","1.89","1_023","1","0.067827"
"task_0031","1.31","1_008","3","9","task_0497","3.150","3_038","1","0.061376"
"task_0031","1.31","1_008","3","10","task_0059","1.59","1_015","3","0.060822"
"task_0032","1.32","1_008","4","1","task_0030","1.30","1_008","2","0.650078"
"task_0032","1.32","1_008","4","2","task_0036","1.36","1_009","4","0.149337"
"task_0032","1.32","1_008","4","3","task_0058","1.58","1_015","2","0.129213"
"task_0032","1.32","1_008","4","4","task_0029","1.29","1_008","1","0.123095"
"task_0032","1.32","1_008","4","5","task_0267","2.79","2_020","3","0.122247"
"task_0032","1.32","1_008","4","6","task_0034","1.34","1_009","2","0.121204"
"task_0032","1.32","1_008","4","7","task_0059","1.59","1_015","3","0.115764"
"task_0032","1.32","1_008","4","8","task_0057","1.57","1_015","1","0.10926"
"task_0032","1.32","1_008","4","9","task_0268","2.80","2_020","4","0.105797"
"task_0032","1.32","1_008","4","10","task_0060","1.60","1_015","4","0.102677"
"task_0033","1.33","1_009","1","1","task_0035","1.35","1_009","3","0.475555"
"task_0033","1.33","1_009","1","2","task_0607","4.43","4_011","3","0.184532"
"task_0033","1.33","1_009","1","3","task_0605","4.41","4_011","1","0.157633"
"task_0033","1.33","1_009","1","4","task_0608","4.44","4_011","4","0.149475"
"task_0033","1.33","1_009","1","5","task_0088","1.88","1_022","4","0.141392"
"task_0033","1.33","1_009","1","6","task_0606","4.42","4_011","2","0.110721"
"task_0033","1.33","1_009","1","7","task_0129","1.129","1_033","1","0.080729"
"task_0033","1.33","1_009","1","8","task_0053","1.53","1_014","1","0.077818"
"task_0033","1.33","1_009","1","9","task_0175","1.175","1_044","3","0.07723"
"task_0033","1.33","1_009","1","10","task_0173","1.173","1_044","1","0.076069"
"task_0034","1.34","1_009","2","1","task_0036","1.36","1_009","4","0.414897"
"task_0034","1.34","1_009","2","2","task_0059","1.59","1_015","3","0.219568"
"task_0034","1.34","1_009","2","3","task_0057","1.57","1_015","1","0.215325"
"task_0034","1.34","1_009","2","4","task_0091","1.91","1_023","3","0.177187"
"task_0034","1.34","1_009","2","5","task_0267","2.79","2_020","3","0.155121"
"task_0034","1.34","1_009","2","6","task_0268","2.80","2_020","4","0.130738"
"task_0034","1.34","1_009","2","7","task_0030","1.30","1_008","2","0.128121"
"task_0034","1.34","1_009","2","8","task_0032","1.32","1_008","4","0.121204"
"task_0034","1.34","1_009","2","9","task_0029","1.29","1_008","1","0.111815"
"task_0034","1.34","1_009","2","10","task_0214","2.26","2_007","2","0.103323"
"task_0035","1.35","1_009","3","1","task_0033","1.33","1_009","1","0.475555"
"task_0035","1.35","1_009","3","2","task_0607","4.43","4_011","3","0.154138"
"task_0035","1.35","1_009","3","3","task_0175","1.175","1_044","3","0.10449"
"task_0035","1.35","1_009","3","4","task_0088","1.88","1_022","4","0.091406"
"task_0035","1.35","1_009","3","5","task_0606","4.42","4_011","2","0.089239"
"task_0035","1.35","1_009","3","6","task_0605","4.41","4_011","1","0.08643"
"task_0035","1.35","1_009","3","7","task_0053","1.53","1_014","1","0.076457"
"task_0035","1.35","1_009","3","8","task_0608","4.44","4_011","4","0.076152"
"task_0035","1.35","1_009","3","9","task_0173","1.173","1_044","1","0.075155"
"task_0035","1.35","1_009","3","10","task_0167","1.167","1_042","3","0.071723"
"task_0036","1.36","1_009","4","1","task_0034","1.34","1_009","2","0.414897"
"task_0036","1.36","1_009","4","2","task_0059","1.59","1_015","3","0.219895"
"task_0036","1.36","1_009","4","3","task_0057","1.57","1_015","1","0.215645"
"task_0036","1.36","1_009","4","4","task_0268","2.80","2_020","4","0.1846"
"task_0036","1.36","1_009","4","5","task_0030","1.30","1_008","2","0.157858"
